,Models_0,Model_1,col,MSE,MAE,Accuracy,W_precision,W_recall,W_F1score,M_precision,M_recall,M_F1score
31,", KNN, DT, SVC, RF, XGB, GNB",RF,a,0.16352201257861634,0.13679245283018868,0.8765723270440252,0.8785588032578676,0.8765723270440252,0.8690768631585217,0.9158015214023361,0.6046249346050143,0.6131708321810853
32,", KNN, DT, SVC, RF, XGB, GNB",XGB,av,0.19130434782608696,0.13122529644268774,0.8932806324110671,0.8935262762844431,0.8932806324110671,0.8900030748256997,0.7076874177336365,0.6296244859952614,0.6092176258670571
33,", KNN, DT, SVC, RF, XGB, GNB",XGB,ac,0.06210691823899371,0.06210691823899371,0.9378930817610063,0.9319718604483938,0.9378930817610063,0.9235707415140857,0.8847788428224969,0.6395927601809954,0.6952683626527252
34,", KNN, DT, SVC, RF, XGB, GNB",XGB,pr,0.5828750981932443,0.31421838177533384,0.8201099764336214,0.8191610468017411,0.8201099764336214,0.8104202807438999,0.8276173548445902,0.6856430844793793,0.7334131046746869
35,", KNN, DT, SVC, RF, XGB, GNB",XGB,ui,0.1360062893081761,0.1360062893081761,0.8639937106918238,0.8643390328175627,0.8639937106918238,0.8641523349876773,0.8521146295664049,0.8537611846706703,0.8529217348412594
36,", KNN, DT, SVC, RF, XGB, GNB",XGB,s,0.05275590551181102,0.05275590551181102,0.947244094488189,0.9458560713390443,0.947244094488189,0.9454996062636234,0.9267371718330827,0.873736962190352,0.8974417693675234
37,", KNN, DT, SVC, RF, XGB, GNB",XGB,c,0.3922955974842767,0.23663522012578617,0.8411949685534591,0.8407041266165887,0.8411949685534591,0.8369044620589438,0.8375406341086902,0.7729809065472072,0.7999964672310398
38,", KNN, DT, SVC, RF, XGB, GNB",XGB,i,0.2920284135753749,0.2067876874506709,0.8358326756116812,0.836066967854242,0.8358326756116812,0.8356987740644032,0.8318514430979147,0.8220015269988775,0.8265115264188002
39,", KNN, DT, SVC, RF, XGB, GNB",XGB,a,0.16273584905660377,0.1360062893081761,0.8773584905660378,0.87934156029743,0.8773584905660378,0.8698754715034549,0.9162744259021537,0.6052983352784149,0.6137526574802282
40,", KNN, DT, SVC, RF, XGB, GNB",GNB,av,0.20316205533596837,0.14466403162055336,0.8822134387351779,0.8799113526537408,0.8822134387351779,0.8808831951927244,0.5303766537832615,0.5922970753692007,0.5514150320383653
41,", KNN, DT, SVC, RF, XGB, GNB",GNB,ac,0.06210691823899371,0.06210691823899371,0.9378930817610063,0.9319718604483938,0.9378930817610063,0.9235707415140857,0.8847788428224969,0.6395927601809954,0.6952683626527252
42,", KNN, DT, SVC, RF, XGB, GNB",GNB,pr,0.584446190102121,0.31421838177533384,0.8208955223880597,0.8230440505309552,0.8208955223880597,0.8109438615405818,0.8522213513479889,0.678927696515207,0.7313157717514467
43,", KNN, DT, SVC, RF, XGB, GNB",GNB,ui,0.13050314465408805,0.13050314465408805,0.8694968553459119,0.8719758818443718,0.8694968553459119,0.8659287554215012,0.8769621055969559,0.8376705335680807,0.8515752625437574
44,", KNN, DT, SVC, RF, XGB, GNB",GNB,s,0.05275590551181102,0.05275590551181102,0.947244094488189,0.9458560713390443,0.947244094488189,0.9454996062636234,0.9267371718330827,0.873736962190352,0.8974417693675234
45,", KNN, DT, SVC, RF, XGB, GNB",GNB,c,0.3938679245283019,0.23977987421383648,0.8372641509433962,0.8357638539132441,0.8372641509433962,0.8330884119085114,0.8282103207588977,0.7699359771505447,0.7946459801074437
46,", KNN, DT, SVC, RF, XGB, GNB",GNB,i,0.31254932912391475,0.21468034727703236,0.8342541436464088,0.8344842851785073,0.8342541436464088,0.833890889649403,0.8262288831332999,0.8244401049545962,0.8248542868686224
47,", KNN, DT, SVC, RF, XGB, GNB",GNB,a,0.1871069182389937,0.14937106918238993,0.8694968553459119,0.8654047439868082,0.8694968553459119,0.8672940908171519,0.6427388342828576,0.6268411203670168,0.6332773239075421
